price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
3360000,3000,3,1,1,yes,no,no,no,no,0,no,semi-furnished
3325000,3850,3,1,1,yes,no,no,no,no,0,no,semi-furnished
3290000,3600,4,1,2,yes,no,no,no,no,0,no,semi-furnished
3290000,2500,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3290000,2175,3,1,2,yes,no,no,no,no,0,no,semi-furnished
3290000,3360,3,1,1,yes,no,no,no,no,0,no,semi-furnished
3255000,3300,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3220000,3000,3,1,1,yes,no,no,no,no,0,no,unfurnished
3220000,4000,3,1,1,yes,no,no,no,no,0,no,furnished
3220000,3240,3,1,1,yes,no,no,no,no,0,no,furnished
3185000,3000,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3150000,3600,3,1,2,yes,no,no,no,no,0,no,semi-furnished
3150000,3500,3,1,1,no,no,no,no,no,0,no,semi-furnished
3150000,2392,3,1,1,yes,no,no,no,no,0,no,furnished
3150000,3500,2,1,1,no,no,yes,no,no,0,no,unfurnished
3150000,2850,2,1,1,no,no,no,no,no,0,no,unfurnished
3115000,3120,3,1,1,no,no,no,no,no,0,no,unfurnished
3080000,3500,3,1,1,no,no,no,no,no,0,no,semi-furnished
3080000,3000,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3080000,4000,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3045000,4100,2,1,1,no,no,no,no,no,0,no,unfurnished
3010000,3000,3,1,1,no,no,no,no,no,0,no,unfurnished
2975000,3500,3,1,1,no,no,no,no,no,0,no,semi-furnished
2940000,3000,2,1,1,no,no,no,no,no,0,no,semi-furnished
2940000,3280,2,1,1,yes,no,no,no,no,0,no,semi-furnished
2940000,3500,2,1,1,no,no,no,no,no,0,no,semi-furnished
2940000,3200,3,1,2,no,no,no,no,no,0,no,semi-furnished
2870000,2400,2,1,1,yes,no,no,no,no,0,no,furnished
2870000,3000,3,1,1,yes,no,no,no,no,0,no,unfurnished
2870000,3500,2,1,1,no,no,no,no,no,0,no,unfurnished
2852500,3000,2,1,1,no,no,no,no,no,0,no,unfurnished
2835000,2600,2,1,1,yes,no,no,no,no,0,no,unfurnished
2800000,3100,2,1,1,no,no,no,no,no,0,no,unfurnished
2800000,4000,3,1,1,no,no,no,no,no,0,no,unfurnished
2800000,2000,2,1,1,yes,no,no,no,no,0,no,semi-furnished
2765000,3000,2,1,1,no,no,no,no,no,0,no,unfurnished
2730000,3200,3,1,1,no,no,no,no,no,0,no,semi-furnished
2730000,3500,3,1,1,no,no,no,no,no,0,no,furnished
2695000,3360,2,1,1,yes,no,no,no,no,1,no,unfurnished
2660000,2800,2,1,1,no,no,no,no,no,0,no,semi-furnished
2660000,2800,2,1,1,yes,no,no,no,no,0,no,semi-furnished
2660000,3000,2,1,1,no,no,no,no,no,0,no,unfurnished
2653000,2000,3,1,1,no,no,no,no,no,0,no,semi-furnished
2625000,2700,2,1,1,no,no,no,no,no,0,no,semi-furnished
2590000,3300,2,1,1,no,no,no,no,no,0,no,semi-furnished
2520000,2800,2,1,1,no,no,no,no,no,0,no,semi-furnished
2520000,3750,2,1,1,no,no,no,no,no,0,no,unfurnished
2520000,2400,2,1,1,no,no,no,no,no,0,no,unfurnished
2485000,2000,2,1,1,no,no,no,no,no,0,no,unfurnished
2450000,2910,2,1,1,no,no,no,no,no,0,no,furnished
2450000,3000,2,1,1,no,no,no,no,no,0,no,unfurnished
2450000,3180,2,1,1,no,no,no,no,no,0,no,semi-furnished
2408000,3500,2,1,1,no,no,no,no,no,0,no,semi-furnished
2380000,2500,2,1,1,no,no,no,no,no,0,no,unfurnished
2380000,3000,2,1,1,no,no,no,no,no,0,no,unfurnished
2345000,2700,2,1,1,no,no,no,no,no,0,no,unfurnished
2310000,3000,2,1,1,no,no,no,no,no,0,no,semi-furnished
2275000,3200,2,1,1,yes,no,yes,no,yes,1,no,furnished
2275000,2000,2,1,1,yes,no,yes,no,no,0,no,semi-furnished
2240000,2600,3,1,1,no,no,no,no,no,0,no,unfurnished
2240000,3000,2,1,1,yes,no,no,no,no,0,no,unfurnished
2240000,3000,3,1,1,yes,no,no,no,no,0,no,semi-furnished
2233000,3500,3,1,1,yes,no,no,no,no,0,no,furnished
2170000,3500,2,1,1,no,no,no,no,no,0,no,unfurnished
2100000,2500,2,1,1,no,no,no,no,no,0,no,unfurnished
2100000,2800,2,1,1,no,no,no,no,no,0,no,unfurnished
2030000,3000,2,1,1,no,no,no,no,no,0,no,unfurnished
